player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,cards_yellow,cards_red
Nemanja Gudelj,MF,Serbia,31-032,Sevilla,1991,2,1,92,1,0,0,0,2,0
Nemanja Maksimović,MF,Serbia,27-326,Getafe,1995,3,1,122,1.4,0,0,0,0,0
Nemanja Radonjić,DF,Serbia,26-306,Torino,1996,3,0,60,0.7,0,0,0,0,0
Nikola Milenković,DF,Serbia,25-067,Fiorentina,1997,3,3,270,3,0,0,0,2,0
Saša Lukić,MF,Serbia,26-127,Torino,1996,3,3,245,2.7,0,0,0,2,0
Sergej Milinković-Savić,MF,Serbia,27-294,Lazio,1995,3,3,233,2.6,1,0,1,1,0
Srđan Babić,DF,Serbia,26-240,Almería,1996,1,0,13,0.1,0,0,0,0,0
Stefan Mitrović,DF,Serbia,32-210,Getafe,1990,1,0,35,0.4,0,0,0,0,0
Strahinja Pavlović,DF,Serbia,21-208,RB Salzburg,2001,3,3,235,2.6,1,0,1,2,0
Vanja Milinković-Savić,GK,Serbia,25-301,Torino,1997,3,3,270,3,0,0,0,0,0
Alejandro Balde,DF,Spain,19-061,Barcelona,2003,4,1,126,1.4,0,0,0,0,0
Ansu Fati,FW,Spain,20-048,Barcelona,2002,2,0,46,0.5,0,0,0,0,0
Aymeric Laporte,DF,Spain,28-205,Manchester City,1994,3,3,300,3.3,0,0,0,1,0
Carlos Soler,MF,Spain,25-350,Paris S-G,1997,2,0,92,1,1,0,1,0,0
César Azpilicueta,DF,Spain,33-112,Chelsea,1989,2,2,135,1.5,0,1,0,0,0
Dani Carvajal,DF,Spain,30-341,Real Madrid,1992,2,1,135,1.5,0,0,0,0,0
Dani Olmo,FW,Spain,24-225,RB Leipzig,1998,4,4,367,4.1,1,1,1,0,0
Ferrán Torres,FW,Spain,22-292,Barcelona,2000,4,3,217,2.4,2,0,1,0,0
Gavi,MF,Spain,18-135,Barcelona,2004,4,4,284,3.2,1,0,1,0,0
Jordi Alba,DF,Spain,33-272,Barcelona,1989,4,3,264,2.9,0,2,0,0,0
Koke,MF,Spain,30-344,Atlético Madrid,1992,2,0,52,0.6,0,0,0,0,0
Marco Asensio,FW,Spain,26-331,Real Madrid,1996,4,3,229,2.5,1,0,1,0,0
Marcos Llorente,DF,Spain,27-322,Atlético Madrid,1995,1,1,120,1.3,0,0,0,0,0
Nico Williams,FW,Spain,20-159,Athletic Club,2002,4,1,146,1.6,0,0,0,0,0
Pablo Sarabia,FW,Spain,30-221,Paris S-G,1992,1,0,3,0,0,0,0,0,0
Pau Torres,DF,Spain,25-336,Villarreal,1997,1,1,90,1,0,0,0,0,0
Pedri,MF,Spain,20-023,Barcelona,2002,4,4,356,4,0,0,0,0,0
Rodri,DF,Spain,26-179,Manchester City,1996,4,4,390,4.3,0,0,0,0,0
Sergio Busquets,MF,Spain,34-155,Barcelona,1988,4,4,363,4,0,0,0,1,0
Unai Simón,GK,Spain,25-190,Athletic Club,1997,4,4,390,4.3,0,0,0,0,0
Álvaro Morata,FW,Spain,30-056,Atlético Madrid,1992,4,1,185,2.1,3,1,3,0,0
Ardon Jasari,FW,Switzerland,20-141,Luzern,2002,1,0,2,0,0,0,0,0,0
Breel Embolo,FW,Switzerland,25-307,Monaco,1997,4,4,323,3.6,2,0,2,0,0
Christian Fassnacht,FW,Switzerland,29-037,Young Boys,1993,1,0,8,0.1,0,0,0,0,0
Denis Zakaria,MF,Switzerland,26-028,Chelsea,1996,2,0,59,0.7,0,0,0,0,0
Djibril Sow,MF,Switzerland,25-315,Eint Frankfurt,1997,4,4,264,2.9,0,1,0,0,0
Edimilson Fernandes,FW,Switzerland,26-247,Mainz 05,1996,3,1,145,1.6,0,0,0,0,0
Eray Cömert,DF,Switzerland,24-317,Valencia,1998,2,0,46,0.5,0,0,0,1,0
Fabian Frei,MF,Switzerland,33-344,Basel,1989,2,0,25,0.3,0,0,0,0,0
Fabian Rieder,FW,Switzerland,20-305,Young Boys,2002,2,1,68,0.8,0,0,0,1,0
Fabian Schär,DF,Switzerland,30-363,Newcastle Utd,1991,2,2,135,1.5,0,0,0,2,0
Granit Xhaka,MF,Switzerland,30-082,Arsenal,1992,4,4,360,4,0,0,0,1,0
Gregor Kobel,GK,Switzerland,25-012,Dortmund,1997,1,1,90,1,0,0,0,0,0
Haris Seferović,FW,Switzerland,30-299,Galatasaray,1992,3,0,71,0.8,0,0,0,0,0
Manuel Akanji,DF,Switzerland,27-152,Manchester City,1995,4,4,360,4,1,0,1,1,0
Michel Aebischer,MF,Switzerland,25-346,Bologna,1997,1,0,16,0.2,0,0,0,0,0
Nico Elvedi,DF,Switzerland,26-079,M'Gladbach,1996,2,2,180,2,0,0,0,1,0
Noah Okafor,FW,Switzerland,22-208,RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0
Remo Freuler,MF,Switzerland,30-247,Nott'ham Forest,1992,4,4,323,3.6,1,0,1,0,0
Renato Steffen,FW,Switzerland,31-045,Lugano,1991,1,0,32,0.4,0,0,0,0,0
Ricardo Rodríguez,DF,Switzerland,30-115,Torino,1992,4,4,359,4,0,0,0,0,0
Ruben Vargas,FW,Switzerland,24-135,Augsburg,1998,4,4,285,3.2,0,1,0,1,0
Silvan Widmer,DF,Switzerland,29-288,Mainz 05,1993,3,3,265,2.9,0,1,0,1,0
Xherdan Shaqiri,FW,Switzerland,31-069,Chicago Fire,1991,3,3,229,2.5,1,1,1,0,0
Yann Sommer,GK,Switzerland,34-001,M'Gladbach,1988,3,3,270,3,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-324,CS Sfaxien,1997,3,3,270,3,0,0,0,0,0
Ali Abdi,DF,Tunisia,28-363,Caen,1993,3,2,188,2.1,0,0,0,1,0
Ali Maâloul,DF,Tunisia,32-351,Al Ahly SC,1990,1,1,90,1,0,0,0,0,0
Anis Ben Slimane,MF,Tunisia,21-277,Brøndby,2001,2,2,148,1.6,0,0,0,0,0
Aïssa Laïdouni,MF,Tunisia,26-005,Ferencváros,1996,3,3,243,2.7,0,1,0,1,0
Dylan Bronn,DF,Tunisia,27-182,Salernitana,1995,2,2,162,1.8,0,0,0,0,0
Ellyes Skhiri,MF,Tunisia,27-222,Köln,1995,3,3,270,3,0,0,0,0,0
Ferjani Sassi,MF,Tunisia,30-275,Al Duhail SC,1992,2,0,48,0.5,0,0,0,1,0
Ghaylène Chaalali,MF,Tunisia,28-293,Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0
Hannibal Mejbri,MF,Tunisia,19-331,Birmingham City,2003,1,0,11,0.1,0,0,0,0,0
Issam Jebali,FW,Tunisia,30-358,Odense,1991,3,2,182,2,0,0,0,0,0
Mohamed Ali Ben Romdhane,MF,Tunisia,23-103,Espérance de Tunis,1999,1,1,73,0.8,0,0,0,0,0
Mohamed Dräger,DF,Tunisia,26-176,Luzern,1996,2,2,132,1.5,0,0,0,0,0
Montassar Talbi,DF,Tunisia,24-206,Lorient,1998,3,3,270,3,0,0,0,0,0
Nader Ghandri,DF,Tunisia,27-303,Club Africain,1995,1,1,90,1,0,0,0,0,0
Naïm Sliti,MF,Tunisia,30-144,Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0
Taha Yassine Khenissi,FW,Tunisia,30-346,Kuwait SC,1992,2,0,29,0.3,0,0,0,1,0
Wahbi Khazri,FW,Tunisia,31-313,Montpellier,1991,2,1,83,0.9,1,0,1,0,0
Wajdi Kechrida,DF,Tunisia,27-043,Atromitos,1995,3,1,111,1.2,0,0,0,1,0
Yassine Meriah,DF,Tunisia,29-169,Espérance de Tunis,1993,3,3,270,3,0,0,0,0,0
Youssef Msakni,MF,Tunisia,32-051,Al-Arabi SC,1990,2,2,169,1.9,0,0,0,0,0
Antonee Robinson,DF,United States,25-132,Fulham,1997,4,4,359,4,0,0,0,0,0
Brenden Aaronson,MF,United States,22-057,Leeds United,2000,4,0,108,1.2,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,24-352,Celtic,1997,1,1,90,1,0,0,0,0,0
Christian Pulisic,FW,United States,24-091,Chelsea,1998,4,4,315,3.5,1,2,1,0,0
DeAndre Yedlin,DF,United States,29-162,Inter Miami,1993,2,0,33,0.4,0,0,0,0,0
Gio Reyna,FW,United States,20-035,Dortmund,2002,2,0,53,0.6,0,0,0,0,0
Haji Wright,FW,United States,24-266,Antalyaspor,1998,4,1,137,1.5,1,0,1,0,0
Jesús Ferreira,FW,United States,21-359,FC Dallas,2000,1,1,45,0.5,0,0,0,0,0
Jordan Morris,FW,United States,28-053,Seattle,1994,2,0,4,0,0,0,0,0,0
Josh Sargent,FW,United States,22-301,Norwich City,2000,3,2,157,1.7,0,0,0,0,0
Kellyn Acosta,MF,United States,27-147,Los Angeles FC,1995,2,0,43,0.5,0,0,0,1,0
Matt Turner,GK,United States,28-177,Arsenal,1994,4,4,360,4,0,0,0,0,0
Sergiño Dest,DF,United States,22-045,Milan,2000,4,4,305,3.4,0,1,0,1,0
Shaquell Moore,DF,United States,26-046,Nashville,1996,2,0,22,0.2,0,0,0,0,0
Tim Ream,DF,United States,35-074,Fulham,1987,4,4,360,4,0,0,0,1,0
Timothy Weah,FW,United States,22-299,Lille,2000,4,4,316,3.5,1,0,1,0,0
Tyler Adams,MF,United States,23-307,Leeds United,1999,4,4,360,4,0,0,0,1,0
Walker Zimmerman,DF,United States,29-213,Nashville,1993,4,3,279,3.1,0,0,0,0,0
Weston McKennie,MF,United States,24-112,Juventus,1998,4,4,271,3,0,0,0,1,0
Yunus Musah,MF,United States,20-019,Valencia,2002,4,4,343,3.8,0,0,0,0,0
Agustín Canobbio,MF,Uruguay,24-078,Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0
Darwin Núñez,FW,Uruguay,23-177,Liverpool,1999,3,3,240,2.7,0,0,0,1,0
Diego Godín,DF,Uruguay,36-305,Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0
Edinson Cavani,FW,Uruguay,35-307,Valencia,1987,3,1,124,1.4,0,0,0,1,0
Facundo Pellistri,MF,Uruguay,20-363,Manchester Utd,2001,3,2,181,2,0,0,0,0,0
Federico Valverde,MF,Uruguay,24-149,Real Madrid,1998,3,3,270,3,0,0,0,0,0
Giorgian De Arrascaeta,MF,Uruguay,28-200,Flamengo,1994,2,1,108,1.2,2,0,2,0,0
Guillermo Varela,DF,Uruguay,29-269,Flamengo,1993,3,2,183,2,0,0,0,0,0
José María Giménez,DF,Uruguay,27-332,Atlético Madrid,1995,3,3,270,3,0,0,0,1,0
Luis Suárez,FW,Uruguay,35-328,Nacional,1987,3,2,146,1.6,0,1,0,1,0
Martín Cáceres,DF,Uruguay,35-255,LA Galaxy,1987,1,1,90,1,0,0,0,1,0
Mathías Olivera,DF,Uruguay,25-048,Napoli,1997,3,3,253,2.8,0,0,0,1,0
Matías Vecino,MF,Uruguay,31-116,Lazio,1991,3,2,195,2.2,0,0,0,0,0
Matías Viña,DF,Uruguay,25-039,Roma,1997,2,0,17,0.2,0,0,0,0,0
Maxi Gómez,FW,Uruguay,26-126,Trabzonspor,1996,2,0,30,0.3,0,0,0,0,0
Nicolás De La Cruz,MF,Uruguay,25-200,River Plate,1997,2,0,38,0.4,0,0,0,0,0
Rodrigo Bentancur,MF,Uruguay,25-176,Tottenham,1997,3,3,213,2.4,0,0,0,1,0
Sebastián Coates,DF,Uruguay,32-072,Sporting CP,1990,2,2,180,2,0,0,0,1,0
Sergio Rochet,GK,Uruguay,29-270,Nacional,1993,3,3,270,3,0,0,0,0,0
Aaron Ramsey,MF,Wales,31-357,Nice,1990,3,3,266,3,0,0,0,1,0
Ben Davies,DF,Wales,29-238,Tottenham,1993,3,3,238,2.6,0,0,0,0,0
Brennan Johnson,FW,Wales,21-209,Nott'ham Forest,2001,3,0,91,1,0,0,0,0,0
Chris Mepham,DF,Wales,25-043,Bournemouth,1997,3,3,270,3,0,0,0,1,0
Connor Roberts,DF,Wales,27-086,Burnley,1995,3,2,200,2.2,0,0,0,0,0
Daniel James,FW,Wales,25-038,Fulham,1997,3,2,154,1.7,0,0,0,1,0
Danny Ward,GK,Wales,29-179,Leicester City,1993,2,1,94,1,0,0,0,0,0
Ethan Ampadu,MF,Wales,22-095,Spezia,2000,3,3,255,2.8,0,0,0,0,0
Gareth Bale,FW,Wales,33-155,Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,0
Harry Wilson,MF,Wales,25-271,Fulham,1997,3,2,160,1.8,0,0,0,0,0
Joe Allen,MF,Wales,32-279,Swansea City,1990,2,1,94,1,0,0,0,0,0
Joe Morrell,MF,Wales,25-349,Portsmouth,1997,2,0,33,0.4,0,0,0,0,0
Joe Rodon,DF,Wales,25-057,Rennes,1997,3,3,270,3,0,0,0,1,0
Kieffer Moore,FW,Wales,30-132,Bournemouth,1992,3,2,225,2.5,0,0,0,0,0
Neco Williams,DF,Wales,21-249,Nott'ham Forest,2001,3,3,204,2.3,0,0,0,0,0
Rubin Colwill,MF,Wales,20-235,Cardiff City,2002,1,0,10,0.1,0,0,0,0,0
Sorba Thomas,MF,Wales,23-118,Huddersfield,1999,1,0,1,0,0,0,0,0,0
Wayne Hennessey,GK,Wales,35-328,Nott'ham Forest,1987,2,2,175,1.9,0,0,0,0,1
